Topology	DSF	MSF	DeTAS	LASA-R	Umay-6T
Grid		980	1109	996	874	924
Random		1100	1260	1132	978	1050
Grid-Mobility	1204	1299	1154	1000	1121
Random-Mobility	1547	1544	1477	1241	1687
