# Topology       DSF  DSF_std  MSF      MSF_std  DeTAS  DeTAS_std  Umay6T  Umay6T_std, 40 nodes, pdr packets, low-speed scenario
Grid		    87	  0.7      86.7	    0.9      86	    0.8         86.1    0.6
Random		    85	  0.8      84.1	    0.8      83.8   0.8         83.5    0.7
Grid-Mobility	81.8  1.2	   78.9	    1.5      81.0	1.3         81.4    0.9
Random-Mobility	80.0  1.0      77.8	    1.3      79.1	1.4         80.5    1.3
